,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-801_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,74.5421052287,1.5921534917,0.4008722112,0.0132575322,1.2736325719,0.0461661402,76.2166100118,1.6515771640999999
1,MOF-801_EQeq,1e-05,0.05,0.189998,0.759992,0.0,0.0,,,,,,,,
2,MOF-801_EQeq,5e-05,0.05,0.18999,0.7599600000000001,0.0,0.0,,,,,,,,
3,MOF-801_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,0.0,0.0,,,,,,,,
4,MOF-801_EQeq,0.0005,0.05,0.1899,0.7596,0.0,0.0,,,,,,,,
5,MOF-801_EQeq,0.001,0.05,0.1898,0.7592,0.0,0.0,,,,,,,,
6,MOF-801_EQeq,0.005,0.05,0.189,0.7559999999999999,0.0,0.0,,,,,,,,
7,MOF-801_EQeq,0.01,0.05,0.188,0.752,0.0,0.0,,,,,,,,
8,MOF-801_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,0.0,0.0,,,,,,,,
9,MOF-801_EQeq,0.03,0.05,0.184,0.736,0.0,0.0,,,,,,,,
10,MOF-801_EQeq,0.04,0.05,0.182,0.728,0.0,0.0,,,,,,,,
11,MOF-801_EQeq,0.05,0.05,0.18,0.72,0.0,0.0,,,,,,,,
