,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-177_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,4.324424727,0.3204199789,2.4597553426,0.1010563729,7.7918881153,0.1913856723,14.5760681849,0.6128620241
1,MOF-177_EQeq,1e-05,0.05,0.189998,0.759992,0.0002174026,0.0008696105,4.4546842537,0.17142445739999998,2.4437342812000002,0.128759589,7.7860948899,0.2632769162,14.6847308274,0.5643305731
2,MOF-177_EQeq,5e-05,0.05,0.18999,0.7599600000000001,0.0006522079,0.0017392210999999998,4.3191568785,0.20161208530000002,2.4339823309,0.099456869,7.766275961,0.23914786850000003,14.520067378299998,0.5419560439
3,MOF-177_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,0.0017392210999999998,0.0010650511,4.3428621968,0.2557973519,2.4608001944,0.1355151292,7.7751182524,0.21670688149999998,14.580519864700001,0.6090844137
4,MOF-177_EQeq,0.0005,0.05,0.1899,0.7596,0.0080438975,0.0037905445,4.3969773678,0.1118259023,2.4923198912,0.1927259965,7.7885341427,0.30584822030000003,14.685875299200001,0.6141906636
5,MOF-177_EQeq,0.001,0.05,0.1898,0.7592,0.0160877951,0.0065075694,4.4367256792,0.1560816751,2.4628898981,0.0739035219,7.8211591487,0.0937090635,14.736862521099999,0.33020182989999997
6,MOF-177_EQeq,0.005,0.05,0.189,0.7559999999999999,0.0710906619,0.017853509,4.3335237381,0.1940004877,2.4529638057,0.0613553347,7.728772449400001,0.1337230102,14.5863506551,0.40693234159999997
7,MOF-177_EQeq,0.01,0.05,0.188,0.752,0.1530514556,0.0114544578,4.3311292615,0.2242621321,2.4555759353,0.08477978060000001,7.5712881915,0.2160421935,14.5110448439,0.536538564
8,MOF-177_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,0.30588550859999997,0.0430127695,4.3775821074,0.12660057660000001,2.3923623997,0.0699834096,7.5232654023,0.1514578833,14.599095418,0.391054639
9,MOF-177_EQeq,0.03,0.05,0.184,0.736,0.45763254840000006,0.0135419332,4.2791691194,0.2580859246,2.3535287402000002,0.0932659918,7.4810358385,0.17967615739999998,14.5713662465,0.544570007
10,MOF-177_EQeq,0.04,0.05,0.182,0.728,0.6085099777,0.0245732306,4.3850049848,0.0810111981,2.3322834197,0.1023303031,7.393680098099999,0.31145369489999997,14.7194784803,0.5193684267
11,MOF-177_EQeq,0.05,0.05,0.18,0.72,0.773735981,0.0588900363,4.3313687091,0.1647177139,2.3281040124000003,0.09207747460000001,7.329497259199999,0.0446727188,14.7627059617,0.3603579436
